"Quantity","base.from","sector","base.to","demand"
486.449699639453,2,9,1,3
16266.3541326187,2,10,1,3
2.30165390516999,3,1,1,3
2.07636760959878,3,2,1,3
0.0189287920164139,3,3,1,3
0.964231633045158,3,4,1,3
0.234280567367847,3,5,1,3
64.2249213049771,3,6,1,3
3.52844553026179,3,7,1,3
99.4365259084045,3,8,1,3
1.8632255934459,3,9,1,3
158.098180928328,3,10,1,3
106.203890522462,4,1,1,3
180.074407067258,4,2,1,3
0.245854361638693,4,3,1,3
58.704089931747,4,4,1,3
0.576715116408145,4,5,1,3
736.653719526666,4,6,1,3
17.0711840165426,4,7,1,3
27.5827149078894,4,8,1,3
8.36830114934552,4,9,1,3
148.690181978558,4,10,1,3
697.490845581284,5,1,1,3
1396.92178495233,5,2,1,3
89.7741570994992,5,3,1,3
367.716860344964,5,4,1,3
349.711736542068,5,5,1,3
35925.4386321252,5,6,1,3
945.758644188525,5,7,1,3
14959.5781616413,5,8,1,3
512.26441866523,5,9,1,3
28730.6466025804,5,10,1,3
4008101.98725671,1,1,1,4
10707194.8511544,1,2,1,4
759353.639166983,1,3,1,4
1304087.29546677,1,4,1,4
684778.393032223,1,5,1,4
826456.047763278,1,6,1,4
9319626.08450622,1,7,1,4
2334970.41411211,1,8,1,4
639616.124455168,1,9,1,4
82116549.2350949,1,10,1,4
590412.62996489,2,1,1,4
2198887.88149513,2,2,1,4
934205.197552587,2,3,1,4
123734.698896795,2,4,1,4
535048.022528902,2,5,1,4
411600.849231272,2,6,1,4
165379.821744212,2,7,1,4
1004143.01908996,2,8,1,4
108637.349912926,2,9,1,4
169534.738983859,2,10,1,4
2997.33679257765,3,1,1,4
19063.8551202405,3,2,1,4
234.461251161949,3,3,1,4
887.005091441901,3,4,1,4
524.962442052331,3,5,1,4
610.678590957764,3,6,1,4
12318.1687284457,3,7,1,4
11820.0026598152,3,8,1,4
547.859627330567,3,9,1,4
2153.95297117285,3,10,1,4
4661.72131535039,4,1,1,4
22305.9592174954,4,2,1,4
1191.82544167331,4,3,1,4
2930.15575956352,4,4,1,4
1565.70115649158,4,5,1,4
4019.31530358477,4,6,1,4
4694.92883388912,4,7,1,4
2172.17445471065,4,8,1,4
803.610431888675,4,9,1,4
2181.92123956482,4,10,1,4
360203.827582441,5,1,1,4
2697338.87947313,5,2,1,4
280406.696206906,5,3,1,4
190176.23734135,5,4,1,4
198324.434326393,5,5,1,4
259425.793564673,5,6,1,4
1850504.32882035,5,7,1,4
1800273.81267742,5,8,1,4
62072.9375129579,5,9,1,4
357730.128697108,5,10,1,4
275205.212868736,1,1,1,5
390390.931286709,1,2,1,5
35973.328907425,1,3,1,5
94365.3966960464,1,4,1,5
250223.581141079,1,5,1,5
39206.3688191733,1,6,1,5
336345.072787153,1,7,1,5
255346.409117595,1,8,1,5
55266.2943468454,1,9,1,5
278909.991040685,1,10,1,5
39287.6827329795,2,1,1,5
43426.04792686,2,2,1,5
27452.7144252927,2,3,1,5
6850.11500508719,2,4,1,5
82126.3778567048,2,5,1,5
16338.3503260808,2,6,1,5
4876.97685226654,2,7,1,5
42244.9974375955,2,8,1,5
7442.45022948607,2,9,1,5
244.383998067132,2,10,1,5
92.1427023564644,3,1,1,5
351.02682828998,3,2,1,5
4.54532050011704,3,3,1,5
38.9762067875916,3,4,1,5
136.726697994395,3,5,1,5
26.8588925841579,3,6,1,5
249.760679366084,3,7,1,5
411.660033923317,3,8,1,5
42.6727532300632,3,9,1,5
18.0739582077715,3,10,1,5
245.608435468025,4,1,1,5
582.984321581621,4,2,1,5
18.8461326658659,4,3,1,5
161.690372518013,4,4,1,5
271.307950413109,4,5,1,5
267.622048325525,4,6,1,5
133.505876227262,4,7,1,5
105.042982246923,4,8,1,5
43.0727770935856,4,9,1,5
16.100002778594,4,10,1,5
18808.9109701659,5,1,1,5
52123.8328204229,5,2,1,5
8095.49996938049,5,3,1,5
8647.10267845593,5,4,1,5
31820.9115369031,5,5,1,5
12930.2826307629,5,6,1,5
54999.9498202834,5,7,1,5
119052.498683484,5,8,1,5
4273.09496469367,5,9,1,5
1328.75763742723,5,10,1,5
0,1,1,1,6
0,1,2,1,6
0,1,3,1,6
0,1,4,1,6
0,1,5,1,6
