"From","To","Product","Quantity"
2,3,14,43.908
2,3,15,101021.645147333
2,3,16,13461.5250590813
2,3,17,157.52861752
2,3,18,16889.53821503
2,3,19,4221.1390222092
2,3,20,109908.01251974
2,3,21,11109.774786207
2,3,22,15168.919647
2,3,23,52160.511312834
2,3,24,29900.20097932
2,3,25,16008.51976773
2,3,26,2842.048133168
2,3,37,85.709
2,4,1,51.7874950466
2,4,2,14980.926287898
2,4,3,4.75
2,4,7,102.52
2,4,9,1.45
2,4,10,281.009631114
2,4,11,18114.4054616229
2,4,12,94684.031038959
2,4,13,452.843259361
2,4,14,565.742936769
2,4,15,96860.60949041
2,4,16,23577.2489477706
2,4,17,518.39201598
2,4,18,35654.51678381
2,4,19,18864.50440521
2,4,20,11611.397118019
2,4,21,20989.286670275
2,4,22,98.288
2,4,23,46670.421736593
2,4,24,22149.27594711
2,4,25,94685.11571398
2,4,26,4933.231817471
2,4,37,356.53
2,5,1,113945.046923943
2,5,2,2699007.66428168
2,5,3,12266.6277790327
2,5,7,542952.17970618
2,5,8,1116458.6128225
2,5,9,531604.996512566
2,5,10,205068.377488944
2,5,11,1484042.27311748
2,5,12,4745538.25393621
2,5,13,109445.354242673
2,5,14,369916.59285116
2,5,15,2379961.59081049
2,5,16,1369702.82502156
2,5,17,366707.013023385
2,5,18,4730020.29165908
2,5,19,2711159.62521268
2,5,20,421546.644023519
2,5,21,1514618.64599104
2,5,22,2588638.90679538
2,5,23,7805652.12369255
2,5,24,946921.589928884
2,5,25,3869973.79963076
2,5,26,1002258.62542467
2,5,37,397854.524497223
3,1,1,73225695.0915425
3,1,2,772787.972512747
3,1,3,0.303
3,1,7,330075.9552768
3,1,8,34120.497303
3,1,9,48801.85948604
3,1,10,0.7
3,1,11,4961.0581332083
3,1,12,10527.9034691134
3,1,13,594.4780451789
3,1,14,50350.07948024
3,1,15,27385.177208671
3,1,16,4824.4516521474
3,1,17,7268.236
3,1,18,332.4814298252
3,1,19,1.635
3,1,20,614.7628561344
3,1,21,84.8696308432
3,1,22,58880.7682593708
3,1,23,80585.0343802261
3,1,24,894.9441040303
3,1,25,3563.435583182
3,1,26,23119.1157399972
3,1,37,11774.909202284
3,2,1,97090208.47906
3,2,2,191415.01386
3,2,7,570.344
3,2,9,128.507
3,2,11,1030.7083712023
3,2,12,437.0544205205
3,2,13,11.925
3,2,15,8.719
3,2,16,1879.151835091
3,2,17,33.586
3,2,18,91.701
3,2,23,24.166
3,2,24,1.5059806261
3,2,25,1.016
3,2,26,0.5090613977
3,2,37,48362.79387221
3,4,1,787332.323
3,4,2,144759.15765123
3,4,8,24758.753819
3,4,9,596.264
3,4,11,10.24
3,4,12,52.484808597
3,4,13,171.99234839
3,4,14,208.47
3,4,15,20.887
3,4,16,52.106565605
3,4,18,342.556
3,4,21,0.628
3,4,23,1367.4367886
3,4,25,35.746405967
3,5,1,115511239.490869
3,5,2,5811145.3572908
3,5,3,420549.87901185
3,5,7,3479530.931765
3,5,8,740827.7323896
3,5,9,850198.67350574
3,5,10,557609.50990474
3,5,11,136447.756087605
3,5,12,238792.109282546
3,5,13,20477.8280429408
3,5,14,96897.6837492009
3,5,15,169426.30710286
3,5,16,86156.1896068714
3,5,17,6585.5063255101
3,5,18,198316.345902015
3,5,19,106702.678705531
3,5,20,84110.9837843248
3,5,21,92016.2637122194
3,5,22,412603.889624111
3,5,23,720955.120238176
3,5,24,37012.0234014102
3,5,25,41862.4487041677
3,5,26,48641.0469614534
3,5,37,74390.647907807
4,1,1,4716898.27494
4,1,2,692.47
4,1,10,308.47
4,1,11,88.5338730518
4,1,12,524.487550559
4,1,13,76.662
4,1,14,0.4
4,1,15,12772.8231412985
4,1,16,35195.4437938157
4,1,17,1
4,1,18,431.3017947956
4,1,19,392.2
4,1,20,7732.4207000311
4,1,21,742.1918496868
4,1,22,1
4,1,23,754.595747389
4,1,24,237.1521021314
4,1,25,1040.6519024947
4,1,26,67.3163922705
4,1,37,3652.054887214
4,2,1,185551351.3961
4,2,3,66533.267994
4,2,8,3.87
4,2,9,9.31
4,2,10,52.09
4,2,11,19413.6559347583
4,2,12,1363.0547192155
4,2,13,39.12
4,2,14,2588.640299294
